name,pii_found,access_violation,delete_violation,third_party_violation,encryption_violation,violation
buddypress-profile-completion,true,false,false,false,false,false
wp-gdpr-cookie-consent,false,false,false,false,false,false
asgaros-forum,true,false,true,false,false,true
bp-featured-members,true,false,true,false,false,true
fg-opencart-to-woocommerce,true,false,false,false,false,false
buddypress-xprofile-image-field,true,false,false,false,false,false
create-user-with-password-multisite,true,false,false,false,false,false
custom-add-user,true,false,false,false,false,false
simple-history,true,false,false,true,true,true
onesignal-free-web-push-notifications,false,false,false,false,false,false
delete-me,true,false,false,false,false,false
asmember,true,false,true,false,false,true
doppelme-avatars,true,false,false,false,false,false
community-events,true,false,false,false,false,false
theme-my-login,true,false,true,false,false,true
patreon-connect,true,false,true,true,true,true
katex,false,false,false,false,false,false
userplus,true,false,true,false,false,true
videowhisper-live-streaming-integration,true,false,true,false,false,true
tutor,true,false,true,false,false,true
vindi-payment-gateway,true,false,true,true,true,true
profilegrid-user-profiles-groups-and-communities,true,false,true,false,false,true
woo-oscommerce-sync,true,false,true,false,false,true
auto-more-tag,false,false,false,false,false,false
wp-security-audit-log-for-paid-memberships-pro,true,false,false,false,false,false
event-calendar-scheduler,true,false,false,true,true,true
editor-menu-and-widget-access,true,false,false,false,false,false
contextly-related-links,true,false,false,false,false,false
wpfunnels,true,false,true,false,false,true
posts-widget-with-tabs,false,false,false,false,false,false
username-changer,true,false,true,false,false,true
wc-payphone-gateway,false,false,false,false,false,false
all-in-one-seo-pack,true,false,true,false,false,true
buy-x-get-y-free-by-storepro,false,false,false,false,false,false
contact-forms-builder,true,false,false,false,false,false
links-dropdown-widget,false,false,false,false,false,false
lh-registration-page,true,false,true,false,false,true
wpforms-lite,true,false,true,true,true,true
youtube-customizr,false,false,false,false,false,false
order-tip-woo,false,false,false,false,false,false
namaste-lms,true,false,true,false,false,true
google-analytics-for-wordpress,true,false,true,true,true,true
wp-mail-smtp,true,false,true,true,true,true
tinymce-advanced,false,false,false,false,false,false
better-search-replace,false,false,false,false,false,false
wp-file-upload,true,false,true,false,false,true
duplicate-post,true,false,true,true,true,true
wp-private-content-plus,true,false,false,false,false,false
all-in-one-wp-migration,true,false,false,false,true,true
redirection,true,false,false,false,false,false
instagram-feed,true,false,true,false,true,true
all-in-one-wp-security-and-firewall,true,false,true,true,true,true
advanced-custom-fields,true,false,true,false,false,true
contact-form-7,true,false,true,false,true,true
wordpress-importer,true,false,false,false,false,false
cookie-notice,true,false,false,false,false,false
classic-editor,true,false,true,false,false,true
wp-super-cache,true,false,false,false,false,false
limit-login-attempts-reloaded,true,false,true,false,false,true
better-wp-security,true,false,true,false,true,true
one-click-demo-import,true,false,false,false,false,false
mailchimp-for-wp,true,false,true,true,false,true
classic-widgets,false,false,false,false,false,false
optinmonster,true,false,false,false,false,false
header-footer-elementor,true,false,true,false,false,true
wp-multibyte-patch,true,false,false,false,false,false
cookie-law-info,true,false,true,false,false,true
astra-sites,true,false,true,false,false,true
worker,true,false,true,false,false,true
