name,delete_violation,access_violation,third_party_violation,encryption_violation,violation
bp-featured-members,FP,TN,TN,TN,FP
asgaros-forum,FP,FN,TN,TN,TP
doppelme-avatars,TN,TN,TN,TN,TN
theme-my-login,FP,TN,TN,TN,FP
bp-user-widgets,TN,TN,TN,TN,TN
fg-opencart-to-woocommerce,TN,TN,TN,TN,TN
asmember,TP,FN,TN,FN,TP
buddypress-profile-completion,TN,TN,TN,TN,TN
custom-add-user,TN,TN,TN,TN,TN
lh-registration-page,FP,TN,TN,TN,FP
tutor,TP,FN,TN,TN,TP
contextly-related-links,,,,,
bp-profile-home-widgets,TN,TN,TN,TN,TN
simple-history,TN,TN,FP,FP,FP
delete-me,TN,TN,TN,FN,FN
username-changer,TP,TN,TN,TN,TP
buddypress-xprofile-image-field,TN,TN,FN,TN,FN
namaste-lms,TP,FN,TN,TN,TP
userplus,TP,TN,TN,TN,TP
event-calendar-scheduler,,,,,
woo-oscommerce-sync,TP,TN,TN,TN,TP
community-events,TN,TN,TN,TN,TN
wp-file-upload,FP,TN,TN,FN,TP
videowhisper-live-streaming-integration,TP,FN,TN,TN,TP
create-user-with-password-multisite,TN,TN,TN,TN,FN
editor-menu-and-widget-access,,,,,
wp-security-audit-log-for-paid-memberships-pro,,,,,
mailchimp-for-wp,,,,,
all-in-one-wp-migration,,,,,
wp-private-content-plus,FN,FN,TN,TN,FN
redirection,,,,,
duplicate-page,,,,,
all-in-one-seo-pack,,,,,
wp-mail-smtp,,,,,
astra-sites,,,,,
classic-editor,FP,TN,TN,TN,FP
wpfunnels,,,,,
wordpress-importer,FN,FN,TN,FN,FN
google-analytics-for-wordpress,,,,,
duplicate-post,,,,,
inactive-logout,,,,,
siteorigin-panels,,,,,
limit-login-attempts-reloaded,,,,,
custom-post-type-ui,,,,,
advanced-custom-fields,FP,TN,TN,TN,FP
wp-super-cache,,,,,
all-in-one-wp-security-and-firewall,,,,,
optinmonster,,,,,
worker,,,,,
wp-multibyte-patch,,,,,
instagram-feed,,,,,
cookie-law-info,,,,,
one-click-demo-import,,,,,
